name,position,email,logo,color1,color2,color3,font,top
John Йоан Dòë,Director,john,sun.pdf,Blue1,Blue2,Blue3,FreeMono,17.04
Jane Smith,"Managing
Director",jane,moon.pdf,Orange1,Orange2,Orange3,Princess Sofia Regular,40.4
Ed إد Graham,"HR	IT
Assistant",ed,foot.pdf,Orange1,Orange2,Orange3,DejaVu Sans,17.04
Samuel Prot,Assistant,sam,sun.pdf,Orange1,Orange2,Orange3,Century Schoolbook L,17.04
Rachel Banks,"Expert

Assistant",rachel,moon.pdf,Orange1,Orange2,Orange3,Princess Sofia Regular,40.4
Albert Pratt,Assistant,al,foot.pdf,Orange1,Orange2,Orange3,FreeMono,17.04
Simon Garf,Assistant,simon,sun.pdf,Orange1,Orange2,Orange3,Comic Sans MS,17.04
Paty Smith,Assistant,paty,moon.pdf,Orange1,Orange2,Orange3,Princess Sofia Regular,40.4
Liz Taylor,Assistant,liz,moon.pdf,Orange1,Orange2,Orange3,Princess Sofia Regular,40.4
Max Orwell,Assistant,max,foot.pdf,Blue1,Blue2,Blue3,Arial Regular,17.04
